TRIPID,HHID,PERSID,STARTSTOP,ENDSTOP,STARTIME,ORIGPLACE,ORIGPURP,ORIGSA1_2021,DESTPLACE,DESTPURP,DESTSA1_2021,MAINMODE,MODE1,MODE2,MODE3,MODE4,MODE5,MODE6,MODE7,MODE8,ARRTIME,DURATION,TRAVTIME,CUMDIST,OVERALL_PURPOSE
912821000002,91282,91282/1000,2,2,724,My workplace,Work (my workplace),31802147510,My home,Go home,31802158315,Car driver,Car driver,,,,,,,,742,,18,10.01,Direct Work Commute
912841000001,91284,91284/1000,1,1,150,My home,At Home,31802158315,Childcare or kindergarten,Pick up or drop off a passenger,31802147706,Car passenger,Car passenger,,,,,,,,170,0,20,12.04,Pickup/Dropoff Someone
912841000002,91284,91284/1000,2,2,170,Childcare or kindergarten,Pick up or drop off a passenger,31802147706,Other work-related place,Pick up or drop off a passenger,31802147412,Car passenger,Car passenger,,,,,,,,190,0,20,5.71,Pickup/Dropoff Someone
912841000003,91284,91284/1000,3,3,190,Other work-related place,Pick up or drop off a passenger,31802147412,Primary or secondary school,Pick up or drop off a passenger,31802147609,Car driver,Car driver,,,,,,,,205,0,15,6.7,Pickup/Dropoff Someone
912841000004,91284,91284/1000,4,4,205,Primary or secondary school,Pick up or drop off a passenger,31802147609,My workplace,Work (my workplace),31802147510,Car driver,Car driver,,,,,,,,215,505,10,2.37,Work Related
912841000005,91284,91284/1000,5,5,720,My workplace,Work (my workplace),31802147510,Primary or secondary school,Pick up or drop off a passenger,31802147609,Car driver,Car driver,,,,,,,,735,0,15,2.5,Pickup/Dropoff Someone
912841000006,91284,91284/1000,6,6,735,Primary or secondary school,Pick up or drop off a passenger,31802147609,Childcare or kindergarten,Pick up or drop off a passenger,31802147706,Car driver,Car driver,,,,,,,,750,0,15,2.92,Pickup/Dropoff Someone
912841000007,91284,91284/1000,7,7,750,Childcare or kindergarten,Pick up or drop off a passenger,31802147706,Other work-related place,Pick up or drop off a passenger,31802147412,Car driver,Car driver,,,,,,,,765,0,15,5.71,Pickup/Dropoff Someone
912841000008,91284,91284/1000,8,8,765,Other work-related place,Pick up or drop off a passenger,31802147412,My home,Go home,31802158315,Car passenger,Car passenger,,,,,,,,785,,20,17.22,Pickup/Dropoff Someone
912841001001,91284,91284/1001,1,1,150,My home,At Home,31802158315,Childcare or kindergarten,Pick up or drop off a passenger,31802147706,Car driver,Car driver,,,,,,,,170,0,20,12.04,Pickup/Dropoff Someone
912841001002,91284,91284/1001,2,2,170,Childcare or kindergarten,Pick up or drop off a passenger,31802147706,My workplace,Work (my workplace),31802147412,Car driver,Car driver,,,,,,,,190,575,20,5.71,Work Related
912841001003,91284,91284/1001,3,3,765,My workplace,Work (my workplace),31802147412,My home,Go home,31802158315,Car driver,Car driver,,,,,,,,785,,20,17.22,Direct Work Commute
912841002001,91284,91284/1002,1,1,150,My home,At Home,31802158315,Childcare or kindergarten,Pick up or drop off a passenger,31802147706,Car passenger,Car passenger,,,,,,,,170,0,20,12.04,Pickup/Dropoff Someone
912841002002,91284,91284/1002,2,2,170,Childcare or kindergarten,Pick up or drop off a passenger,31802147706,Other work-related place,Pick up or drop off a passenger,31802147412,Car passenger,Car passenger,,,,,,,,190,0,20,5.71,Pickup/Dropoff Someone
912841002003,91284,91284/1002,3,3,190,Other work-related place,Pick up or drop off a passenger,31802147412,Primary or secondary school,Education,31802147609,Car passenger,Car passenger,,,,,,,,205,530,15,6.7,Education
912841002004,91284,91284/1002,4,4,735,Primary or secondary school,Education,31802147609,Childcare or kindergarten,Pick up or drop off a passenger,31802147706,Car passenger,Car passenger,,,,,,,,750,0,15,2.92,Pickup/Dropoff Someone
912841002005,91284,91284/1002,5,5,750,Childcare or kindergarten,Pick up or drop off a passenger,31802147706,Other work-related place,Pick up or drop off a passenger,31802147412,Car passenger,Car passenger,,,,,,,,765,0,15,5.71,Pickup/Dropoff Someone
912841002006,91284,91284/1002,6,6,765,Other work-related place,Pick up or drop off a passenger,31802147412,My home,Go home,31802158315,Car passenger,Car passenger,,,,,,,,785,,20,17.22,Pickup/Dropoff Someone
912841003001,91284,91284/1003,1,1,150,My home,At Home,31802158315,Childcare or kindergarten,Just accompanying someone,31802147706,Car passenger,Car passenger,,,,,,,,170,580,20,12.04,Accompany Someone
912841003002,91284,91284/1003,2,2,750,Childcare or kindergarten,Just accompanying someone,31802147706,Other work-related place,Just accompanying someone,31802147412,Car passenger,Car passenger,,,,,,,,765,0,15,5.71,Accompany Someone
912841003003,91284,91284/1003,3,3,765,Other work-related place,Just accompanying someone,31802147412,My home,Go home,31802158315,Car passenger,Car passenger,,,,,,,,785,,20,17.22,Accompany Someone
912841004001,91284,91284/1004,1,1,150,My home,At Home,31802158315,Childcare or kindergarten,Just accompanying someone,31802147706,Car passenger,Car passenger,,,,,,,,170,580,20,12.04,Accompany Someone
912841004002,91284,91284/1004,2,2,750,Childcare or kindergarten,Just accompanying someone,31802147706,Other work-related place,Just accompanying someone,31802147412,Car passenger,Car passenger,,,,,,,,765,0,15,5.71,Accompany Someone
912841004003,91284,91284/1004,3,3,765,Other work-related place,Just accompanying someone,31802147412,My home,Go home,31802158315,Car passenger,Car passenger,,,,,,,,785,,20,17.22,Accompany Someone
912851000001,91285,91285/1000,1,1,210,My home,At Home,31802158315,Other place (please specify),Pick up or drop off a passenger,31802148207,Car driver,Car driver,,,,,,,,230,0,20,12.09,Pickup/Dropoff Someone
912851000002,91285,91285/1000,2,2,230,Other place (please specify),Pick up or drop off a passenger,31802148207,My workplace,Work (my workplace),31802148233,Car driver,Car driver,,,,,,,,240,510,10,0.87,Work Related
912851000003,91285,91285/1000,3,3,750,My workplace,Work (my workplace),31802148233,Other place (please specify),Recreation/leisure activity,31802148233,Car driver,Car driver,,,,,,,,752,58,2,0.43,Recreation
912851000004,91285,91285/1000,4,4,810,Other place (please specify),Recreation/leisure activity,31802148233,Shop or supermarket,Shopping,31802158309,Car driver,Car driver,,,,,,,,830,50,20,11.33,Shopping
912851000005,91285,91285/1000,5,5,880,Shop or supermarket,Shopping,31802158309,My home,Go home,31802158315,Car driver,Car driver,,,,,,,,885,,5,1.29,Shopping
912851001003,91285,91285/1001,3,3,240,Primary or secondary school,Pick up or drop off a passenger,31802148221,My workplace,Work (my workplace),31802147505,Car driver,Car driver,,,,,,,,255,465,15,11.26,Work Related
912851001004,91285,91285/1001,4,4,720,My workplace,Work (my workplace),31802147505,Someone else's home,Shopping,31802149111,Car driver,Car driver,,,,,,,,750,10,30,7.56,Shopping
912851001005,91285,91285/1001,5,5,760,Someone else's home,Shopping,31802149111,Shop or supermarket,Shopping,31802158309,Car driver,Car driver,,,,,,,,780,55,20,20.12,Shopping
912851001006,91285,91285/1001,6,6,835,Shop or supermarket,Shopping,31802158309,My home,Go home,31802158315,Car driver,Car driver,,,,,,,,840,,5,1.29,Shopping
912851002001,91285,91285/1002,1,1,630,My home,At Home,31802158315,Primary or secondary school,Pick up or drop off a passenger,31802148221,Car driver,Car driver,,,,,,,,660,30,30,13.13,Pickup/Dropoff Someone
912851002002,91285,91285/1002,2,2,690,Primary or secondary school,Pick up or drop off a passenger,31802148221,My home,Go home,31802158315,Car driver,Car driver,,,,,,,,720,,30,13.08,Pickup/Dropoff Someone
912851003003,91285,91285/1003,3,3,690,Primary or secondary school,Education,31802148221,My home,Go home,31802158315,Car passenger,Car passenger,,,,,,,,720,,30,13.08,Education
912851004003,91285,91285/1004,3,3,690,Primary or secondary school,Education,31802148221,My home,Go home,31802158315,Car passenger,Car passenger,,,,,,,,720,,30,13.08,Education
912861000001,91286,91286/1000,1,1,237,My home,At Home,31802158315,"Restaurant, caf̩, or food outlet",Work (other work reason),31802148248,Car driver,Car driver,,,,,,,,255,5,18,13.19,Work Related
912861000002,91286,91286/1000,2,2,260,"Restaurant, caf̩, or food outlet",Work (other work reason),31802148248,My workplace,Work (my workplace),31802148422,Car driver,Car driver,,,,,,,,271,77,11,7.38,Work Related
912861000003,91286,91286/1000,3,3,348,My workplace,Work (my workplace),31802148422,Other place (please specify),Pickup/deliver something (not work-related),31802147515,Car driver,Car driver,,,,,,,,357,5,9,5.65,Pickup/Deliver Something
912861000004,91286,91286/1000,4,4,362,Other place (please specify),Pickup/deliver something (not work-related),31802147515,Other place (please specify),Personal business,31802146815,Car driver,Car driver,,,,,,,,378,26,16,8.57,Personal Business
912861000005,91286,91286/1000,5,5,404,Other place (please specify),Personal business,31802146815,My workplace,Work (my workplace),31802148422,Car driver,Car driver,,,,,,,,425,100,21,10.61,Work Related
912861000006,91286,91286/1000,6,6,525,My workplace,Work (my workplace),31802148422,Other place (please specify),Personal business,31802149022,Car driver,Car driver,,,,,,,,545,40,20,9.19,Personal Business
912861000007,91286,91286/1000,7,7,585,Other place (please specify),Personal business,31802149022,My workplace,Work (my workplace),31802148422,Car driver,Car driver,,,,,,,,605,130,20,9.24,Work Related
912861000008,91286,91286/1000,8,8,735,My workplace,Work (my workplace),31802148422,Other place (please specify),Recreation/leisure activity,31802148424,Car driver,Car driver,,,,,,,,737,53,2,1.6,Recreation
912861000009,91286,91286/1000,9,9,790,Other place (please specify),Recreation/leisure activity,31802148424,Childcare or kindergarten,Pick up or drop off a passenger,31802148422,Car driver,Car driver,,,,,,,,795,15,5,2.06,Pickup/Dropoff Someone
912861000010,91286,91286/1000,10,10,810,Childcare or kindergarten,Pick up or drop off a passenger,31802148422,My home,Go home,31802158315,Car driver,Car driver,,,,,,,,830,,20,9.01,Pickup/Dropoff Someone
912861001001,91286,91286/1001,1,1,205,My home,At Home,31802158315,Childcare or kindergarten,Pick up or drop off a passenger,31802148422,Car driver,Car driver,,,,,,,,225,10,20,10.53,Pickup/Dropoff Someone
912861001002,91286,91286/1001,2,2,235,Childcare or kindergarten,Pick up or drop off a passenger,31802148422,My workplace,Work (my workplace),31802147103,Car driver,Car driver,,,,,,,,260,480,25,13.36,Work Related
912861001003,91286,91286/1001,3,3,740,My workplace,Work (my workplace),31802147103,My home,Go home,31802158315,Car driver,Car driver,,,,,,,,765,20,25,19.34,Direct Work Commute
912861001004,91286,91286/1001,4,4,785,My home,Go home,31802158315,Other place (please specify),Recreation/leisure activity,31802158310,Bicycle,Bicycle,,,,,,,,800,1,15,2.82,Recreation
912861001005,91286,91286/1001,5,5,801,Other place (please specify),Recreation/leisure activity,31802158310,My home,Go home,31802158315,Bicycle,Bicycle,,,,,,,,820,,19,2.82,Recreation
912861002001,91286,91286/1002,1,1,205,My home,At Home,31802158315,Childcare or kindergarten,Just accompanying someone,31802148422,Car passenger,Car passenger,,,,,,,,225,585,20,10.53,Accompany Someone
912861002002,91286,91286/1002,2,2,810,Childcare or kindergarten,Just accompanying someone,31802148422,My home,Go home,31802158315,Car passenger,Car passenger,,,,,,,,830,,20,9.01,Accompany Someone
912871000001,91287,91287/1000,1,1,180,My home,At Home,31802158315,Other place (please specify),Pick up or drop off a passenger,31802147510,Car driver,Car driver,,,,,,,,205,0,25,10.76,Pickup/Dropoff Someone
912871000002,91287,91287/1000,2,2,205,Other place (please specify),Pick up or drop off a passenger,31802147510,My workplace,Work (my workplace),31802148416,Car driver,Car driver,,,,,,,,220,530,15,5.1,Work Related
912871000003,91287,91287/1000,3,3,750,My workplace,Work (my workplace),31802148416,Other place (please specify),Pick up or drop off a passenger,31802147510,Car driver,Car driver,,,,,,,,765,0,15,5.05,Pickup/Dropoff Someone
912871000004,91287,91287/1000,4,4,765,Other place (please specify),Pick up or drop off a passenger,31802147510,My home,Go home,31802158315,Car driver,Car driver,,,,,,,,805,,40,10.49,Pickup/Dropoff Someone
912871001001,91287,91287/1001,1,1,180,My home,At Home,31802158315,Other place (please specify),Work (my workplace),31802147510,Car passenger,Car passenger,,,,,,,,205,560,25,10.76,Direct Work Commute
912871001002,91287,91287/1001,2,2,765,Other place (please specify),Work (my workplace),31802147510,My home,Go home,31802158315,Car passenger,Car passenger,,,,,,,,805,,40,10.49,Direct Work Commute
912871002001,91287,91287/1002,1,1,255,My home,At Home,31802158315,Primary or secondary school,Education,31802158309,Walking,Walking,,,,,,,,280,420,25,1.22,Education
912871002002,91287,91287/1002,2,2,700,Primary or secondary school,Education,31802158309,My home,Go home,31802158315,Walking,Walking,,,,,,,,735,,35,1.22,Education
912871003001,91287,91287/1003,1,1,255,My home,At Home,31802158315,Primary or secondary school,Education,31802158309,Walking,Walking,,,,,,,,280,420,25,1.22,Education
912871003002,91287,91287/1003,2,2,700,Primary or secondary school,Education,31802158309,My home,Go home,31802158315,Walking,Walking,,,,,,,,735,,35,1.22,Education
912911000001,91291,91291/1000,1,1,240,My home,At Home,31802158315,My workplace,Work (my workplace),31802158306,Car driver,Car driver,,,,,,,,250,460,10,4.2,Direct Work Commute
912911000002,91291,91291/1000,2,2,710,My workplace,Work (my workplace),31802158306,My home,Go home,31802158315,Car driver,Car driver,,,,,,,,720,,10,4.24,Direct Work Commute
912931000001,91293,91293/1000,1,1,90,My home,At Home,31802158315,My workplace,Work (my workplace),31802149012,Car driver,Car driver,,,,,,,,120,600,30,16.92,Direct Work Commute
912931000002,91293,91293/1000,2,2,720,My workplace,Work (my workplace),31802149012,My home,Go home,31802158315,Car driver,Car driver,,,,,,,,755,,35,16.87,Direct Work Commute
912931001001,91293,91293/1001,1,1,165,My home,At Home,31802158315,My workplace,Work (my workplace),31802148510,Car driver,Car driver,,,,,,,,195,465,30,15.88,Direct Work Commute
912931001002,91293,91293/1001,2,2,660,My workplace,Work (my workplace),31802148510,My home,Go home,31802158315,Car driver,Car driver,,,,,,,,690,90,30,15.73,Direct Work Commute
912931001003,91293,91293/1001,3,3,780,My home,Go home,31802158315,Shop or supermarket,Shopping,31802148246,Car driver,Car driver,,,,,,,,810,120,30,13.36,Shopping
912931001004,91293,91293/1001,4,4,930,Shop or supermarket,Shopping,31802148246,My home,Go home,31802158315,Car driver,Car driver,,,,,,,,960,,30,13.3,Shopping
912931002001,91293,91293/1002,1,1,780,My home,At Home,31802158315,Shop or supermarket,Shopping,31802148246,Car passenger,Car passenger,,,,,,,,810,120,30,13.36,Shopping
912931002002,91293,91293/1002,2,2,930,Shop or supermarket,Shopping,31802148246,My home,Go home,31802158315,Car passenger,Car passenger,,,,,,,,960,,30,13.3,Shopping
912941000001,91294,91294/1000,1,1,240,My home,At Home,31802158315,Shop or supermarket,Shopping,31802146707,Car driver,Car driver,,,,,,,,270,25,30,15.52,Shopping
912941000002,91294,91294/1000,2,2,295,Shop or supermarket,Shopping,31802146707,Shop or supermarket,Shopping,31802158213,Car driver,Car driver,,,,,,,,320,55,25,12.61,Shopping
912941000003,91294,91294/1000,3,3,375,Shop or supermarket,Shopping,31802158213,My home,Go home,31802158315,Car driver,Car driver,,,,,,,,385,195,10,4.98,Shopping
912941000004,91294,91294/1000,4,4,580,My home,Go home,31802158315,Other study-related place,Pick up or drop off a passenger,31802147411,Car driver,Car driver,,,,,,,,600,0,20,16.98,Pickup/Dropoff Someone
912941000005,91294,91294/1000,5,5,600,Other study-related place,Pick up or drop off a passenger,31802147411,Shop or supermarket,Shopping,31802146714,Car driver,Car driver,,,,,,,,615,10,15,3.87,Shopping
912941000006,91294,91294/1000,6,6,625,Shop or supermarket,Shopping,31802146714,My home,Go home,31802158315,Car driver,Car driver,,,,,,,,645,405,20,13.56,Shopping
912941000007,91294,91294/1000,7,7,1050,My home,Go home,31802158315,Other study-related place,Pick up or drop off a passenger,31802147411,Car driver,Car driver,,,,,,,,1065,5,15,16.98,Pickup/Dropoff Someone
912941000008,91294,91294/1000,8,8,1070,Other study-related place,Pick up or drop off a passenger,31802147411,My home,Go home,31802158315,Car driver,Car driver,,,,,,,,1110,,40,16.74,Pickup/Dropoff Someone
912941002001,91294,91294/1002,1,1,580,My home,At Home,31802158315,My campus,Education,31802147411,Car passenger,Car passenger,,,,,,,,600,470,20,16.98,Education
912941002002,91294,91294/1002,2,2,1070,My campus,Education,31802147411,My home,Go home,31802158315,Car passenger,Car passenger,,,,,,,,1110,,40,16.74,Education
912971000001,91297,91297/1000,1,1,180,My home,At Home,31802158315,Childcare or kindergarten,Pick up or drop off a passenger,31802148814,Car driver,Car driver,,,,,,,,210,10,30,16.98,Pickup/Dropoff Someone
912971000002,91297,91297/1000,2,2,220,Childcare or kindergarten,Pick up or drop off a passenger,31802148814,My workplace,Work (my workplace),31802148804,Car driver,Car driver,,,,,,,,225,555,5,2.67,Work Related
912971000003,91297,91297/1000,3,3,780,My workplace,Work (my workplace),31802148804,Childcare or kindergarten,Pick up or drop off a passenger,31802148814,Car driver,Car driver,,,,,,,,785,10,5,2.69,Pickup/Dropoff Someone
912971000004,91297,91297/1000,4,4,795,Childcare or kindergarten,Pick up or drop off a passenger,31802148814,My home,Go home,31802158315,Car driver,Car driver,,,,,,,,820,,25,16.92,Pickup/Dropoff Someone
912971001001,91297,91297/1001,1,1,60,My home,At Home,31802158315,My workplace,Work (my workplace),31802148915,Car driver,Car driver,,,,,,,,100,650,40,28.11,Direct Work Commute
912971001002,91297,91297/1001,2,2,750,My workplace,Work (my workplace),31802148915,My home,Go home,31802158315,Car driver,Car driver,,,,,,,,795,,45,27.96,Direct Work Commute
912971004001,91297,91297/1004,1,1,180,My home,At Home,31802158315,Childcare or kindergarten,Just accompanying someone,31802148814,Car passenger,Car passenger,,,,,,,,210,585,30,16.98,Accompany Someone
912971004002,91297,91297/1004,2,2,795,Childcare or kindergarten,Just accompanying someone,31802148814,My home,Go home,31802158315,Car passenger,Car passenger,,,,,,,,820,,25,16.92,Accompany Someone
912981000001,91298,91298/1000,1,1,195,My home,At Home,31802158315,Primary or secondary school,Pick up or drop off a passenger,31802158212,Car driver,Car driver,,,,,,,,210,0,15,2.11,Pickup/Dropoff Someone
912981000002,91298,91298/1000,2,2,210,Primary or secondary school,Pick up or drop off a passenger,31802158212,My workplace,Work (my workplace),31802147510,Car driver,Car driver,,,,,,,,240,480,30,10.02,Work Related
912981000003,91298,91298/1000,3,3,720,My workplace,Work (my workplace),31802147510,Primary or secondary school,Pick up or drop off a passenger,31802158212,Car driver,Car driver,,,,,,,,755,5,35,10.11,Pickup/Dropoff Someone
912981000004,91298,91298/1000,4,4,760,Primary or secondary school,Pick up or drop off a passenger,31802158212,My home,Go home,31802158315,Car driver,Car driver,,,,,,,,767,,7,2.08,Pickup/Dropoff Someone
912981002001,91298,91298/1002,1,1,195,My home,At Home,31802158315,Primary or secondary school,Education,31802158212,Car passenger,Car passenger,,,,,,,,210,550,15,2.11,Education
912981002002,91298,91298/1002,2,2,760,Primary or secondary school,Education,31802158212,My home,Go home,31802158315,Car passenger,Car passenger,,,,,,,,767,,7,2.08,Education
912991000001,91299,91299/1000,1,1,135,My home,At Home,31802158315,My workplace,Work (my workplace),31802147510,Car driver,Car driver,,,,,,,,150,420,15,11.44,Direct Work Commute
912991000002,91299,91299/1000,2,2,570,My workplace,Work (my workplace),31802147510,My home,Go home,31802158315,Car driver,Car driver,,,,,,,,585,45,15,11.85,Direct Work Commute
912991000003,91299,91299/1000,3,3,630,My home,Go home,31802158315,Shop or supermarket,Shopping,31802147510,Car driver,Car driver,,,,,,,,645,45,15,11.44,Shopping
912991000004,91299,91299/1000,4,4,690,Shop or supermarket,Shopping,31802147510,My home,Go home,31802158315,Car driver,Car driver,,,,,,,,705,60,15,11.85,Shopping
912991000005,91299,91299/1000,5,5,765,My home,Go home,31802158315,Someone else's home,Personal business,31802158224,Car driver,Car driver,,,,,,,,780,,15,7.92,Personal Business
912991001001,91299,91299/1001,1,1,630,My home,At Home,31802158315,Shop or supermarket,Shopping,31802147510,Car passenger,Car passenger,,,,,,,,645,45,15,11.44,Shopping
912991001002,91299,91299/1001,2,2,690,Shop or supermarket,Shopping,31802147510,My home,Go home,31802158315,Car passenger,Car passenger,,,,,,,,705,,15,11.85,Shopping
912991002001,91299,91299/1002,1,1,250,My home,At Home,31802158315,Primary or secondary school,Education,31802158309,Walking,Walking,,,,,,,,270,360,20,1.36,Education
912991002002,91299,91299/1002,2,2,630,Primary or secondary school,Education,31802158309,My home,Go home,31802158315,Walking,Walking,,,,,,,,655,,25,1.36,Education
913151000001,91315,91315/1000,1,1,180,My home,At Home,31802147609,Someone else's home,Social Visit,31802147505,Car driver,Car driver,,,,,,,,185,235,5,3.73,Social
913151000002,91315,91315/1000,2,2,420,Someone else's home,Social Visit,31802147505,My home,Go home,31802147609,Car driver,Car driver,,,,,,,,425,,5,3.74,Social
913151001001,91315,91315/1001,1,1,480,My home,At Home,31802147609,Shop or supermarket,Shopping,31802146714,Car passenger,Car passenger,,,,,,,,485,115,5,2.55,Shopping
913151001002,91315,91315/1001,2,2,600,Shop or supermarket,Shopping,31802146714,My home,Go home,31802147609,Car passenger,Car passenger,,,,,,,,605,,5,2.69,Shopping
913171000001,91317,91317/1000,1,1,300,My home,At Home,31802147609,Someone else's home,Social Visit,31802146709,Car passenger,Car passenger,,,,,,,,315,465,15,3.42,Social
913171000002,91317,91317/1000,2,2,780,Someone else's home,Social Visit,31802146709,My home,Go home,31802147609,Car passenger,Car passenger,,,,,,,,795,,15,3.53,Social
913171001001,91317,91317/1001,1,1,300,My home,At Home,31802147609,Someone else's home,Social Visit,31802146709,Car driver,Car driver,,,,,,,,315,285,15,3.42,Social
913171001002,91317,91317/1001,2,2,600,Someone else's home,Social Visit,31802146709,Shop or supermarket,Shopping,31802146714,Car driver,Car driver,,,,,,,,605,55,5,1.98,Shopping
913171001003,91317,91317/1001,3,3,660,Shop or supermarket,Shopping,31802146714,Someone else's home,Pickup/deliver something (not work-related),31802146709,Car driver,Car driver,,,,,,,,665,115,5,2.24,Pickup/Deliver Something
913171001004,91317,91317/1001,4,4,780,Someone else's home,Pickup/deliver something (not work-related),31802146709,My home,Go home,31802147609,Car driver,Car driver,,,,,,,,795,,15,3.53,Pickup/Deliver Something
913171002001,91317,91317/1002,1,1,300,My home,At Home,31802147609,Someone else's home,Just accompanying someone,31802146709,Car passenger,Car passenger,,,,,,,,315,465,15,3.42,Accompany Someone
913171002002,91317,91317/1002,2,2,780,Someone else's home,Just accompanying someone,31802146709,My home,Go home,31802147609,Car passenger,Car passenger,,,,,,,,795,,15,3.53,Accompany Someone
913211000001,91321,91321/1000,1,1,340,My home,At Home,31802147609,My workplace,Work (my workplace),31802149115,Car driver,Car driver,,,,,,,,360,10,20,10.33,Direct Work Commute
913211000002,91321,91321/1000,2,2,370,My workplace,Work (my workplace),31802149115,Other work-related place,Pickup/deliver something (not work-related),31202135302,Car driver,Car driver,,,,,,,,660,40,290,352.77,Pickup/Deliver Something
913211000003,91321,91321/1000,3,3,700,Other work-related place,Pickup/deliver something (not work-related),31202135302,My workplace,Work (my workplace),31802149115,Car driver,Car driver,,,,,,,,980,10,280,352.63,Work Related
913211000004,91321,91321/1000,4,4,990,My workplace,Work (my workplace),31802149115,My home,Go home,31802147609,Car driver,Car driver,,,,,,,,1010,,20,11.47,Direct Work Commute
913211001001,91321,91321/1001,1,1,240,My home,At Home,31802147609,My workplace,Work (my workplace),31802146714,Car driver,Car driver,,,,,,,,255,565,15,2.7,Direct Work Commute
913211001002,91321,91321/1001,2,2,820,My workplace,Work (my workplace),31802146714,My home,Go home,31802147609,Car driver,Car driver,,,,,,,,840,,20,2.85,Direct Work Commute
913221000001,91322,91322/1000,1,1,420,My home,At Home,31802147609,My campus,Education,31802147411,Car driver,Car driver,,,,,,,,440,400,20,6.1,Education
913221000002,91322,91322/1000,2,2,840,My campus,Education,31802147411,My home,Go home,31802147609,Car driver,Car driver,,,,,,,,860,0,20,6.05,Education
913221000003,91322,91322/1000,3,3,860,My home,Go home,31802147609,Other place (please specify),Recreation/leisure activity,31802146808,Car driver,Car driver,,,,,,,,885,165,25,5.24,Recreation
913221000004,91322,91322/1000,4,4,1050,Other place (please specify),Recreation/leisure activity,31802146808,My home,Go home,31802147609,Car driver,Car driver,,,,,,,,1075,65,25,5.35,Recreation
913221000005,91322,91322/1000,5,5,1140,My home,Go home,31802147609,Other place (please specify),Recreation/leisure activity,31802147608,Car driver,Car driver,,,,,,,,1145,30,5,0.78,Recreation
913221000006,91322,91322/1000,6,6,1175,Other place (please specify),Recreation/leisure activity,31802147608,My home,Go home,31802147609,Car driver,Car driver,,,,,,,,1180,,5,0.82,Recreation
913221001001,91322,91322/1001,1,1,225,My home,At Home,31802147609,My workplace,Work (my workplace),31802147906,Car driver,Car driver,,,,,,,,235,515,10,2.59,Direct Work Commute
913221001002,91322,91322/1001,2,2,750,My workplace,Work (my workplace),31802147906,My home,Go home,31802147609,Car driver,Car driver,,,,,,,,760,100,10,2.56,Direct Work Commute
913221001003,91322,91322/1001,3,3,860,My home,Go home,31802147609,Other place (please specify),Recreation/leisure activity,31802146808,Car passenger,Car passenger,,,,,,,,885,165,25,5.24,Recreation
913221001004,91322,91322/1001,4,4,1050,Other place (please specify),Recreation/leisure activity,31802146808,My home,Go home,31802147609,Car passenger,Car passenger,,,,,,,,1075,,25,5.35,Recreation
913261000001,91326,91326/1000,1,1,265,My home,At Home,31802147609,Primary or secondary school,Pick up or drop off a passenger,31802148813,Car driver,Car driver,,,,,,,,280,0,15,5.84,Pickup/Dropoff Someone
913261000002,91326,91326/1000,2,2,280,Primary or secondary school,Pick up or drop off a passenger,31802148813,Shop or supermarket,Work (my workplace),31802148710,Car driver,Car driver,,,,,,,,290,40,10,4.98,Work Related
913261000003,91326,91326/1000,3,3,330,Shop or supermarket,Work (my workplace),31802148710,My home,Go home,31802147609,Car driver,Car driver,,,,,,,,340,305,10,7.23,Direct Work Commute
913261000004,91326,91326/1000,4,4,645,My home,Go home,31802147609,Primary or secondary school,Pick up or drop off a passenger,31802148813,Car driver,Car driver,,,,,,,,655,0,10,5.84,Pickup/Dropoff Someone
913261000005,91326,91326/1000,5,5,655,Primary or secondary school,Pick up or drop off a passenger,31802148813,My home,Go home,31802147609,Car driver,Car driver,,,,,,,,665,,10,5.64,Pickup/Dropoff Someone
913261001001,91326,91326/1001,1,1,265,My home,At Home,31802147609,Primary or secondary school,Education,31802148813,Car passenger,Car passenger,,,,,,,,280,375,15,5.84,Education
913261001002,91326,91326/1001,2,2,655,Primary or secondary school,Education,31802148813,My home,Go home,31802147609,Car passenger,Car passenger,,,,,,,,665,,10,5.64,Education
913261002001,91326,91326/1002,1,1,265,My home,At Home,31802147609,Primary or secondary school,Education,31802148813,Car passenger,Car passenger,,,,,,,,280,375,15,5.84,Education
913261002002,91326,91326/1002,2,2,655,Primary or secondary school,Education,31802148813,My home,Go home,31802147609,Car passenger,Car passenger,,,,,,,,665,,10,5.64,Education
913311000001,91331,91331/1000,1,1,285,My home,At Home,31802147707,Other place (please specify),Personal business,31802146702,Car driver,Car driver,,,,,,,,300,40,15,1.72,Personal Business
913311000002,91331,91331/1000,2,2,340,Other place (please specify),Personal business,31802146702,My home,Go home,31802147707,Car driver,Car driver,,,,,,,,355,,15,2.15,Personal Business
913321000001,91332,91332/1000,1,1,120,My home,At Home,31802147707,My workplace,Work (my workplace),31802147510,Car driver,Car driver,,,,,,,,125,535,5,2.67,Direct Work Commute
913321000002,91332,91332/1000,2,2,660,My workplace,Work (my workplace),31802147510,My home,Go home,31802147707,Car driver,Car driver,,,,,,,,665,,5,2.74,Direct Work Commute
913331000001,91333,91333/1000,1,1,90,My home,At Home,31802147707,My workplace,Work (my workplace),31802149115,Car driver,Car driver,,,,,,,,105,45,15,11.46,Direct Work Commute
913331000002,91333,91333/1000,2,2,150,My workplace,Work (my workplace),31802149115,Other work-related place,Work (other work reason),31802149008,Truck driver,Truck driver,,,,,,,,180,75,30,11.41,Work Related
913331000003,91333,91333/1000,3,3,255,Other work-related place,Work (other work reason),31802149008,My workplace,Work (my workplace),31802149115,Truck driver,Truck driver,,,,,,,,280,20,25,11.52,Work Related
