HHID,PERSID,AGEGROUP,SEX,RELATIONSHIP,CARLICENCE,CARLICTYPE,MCLICENCE,MCLICTYPE,OTHERLICENCE,WORKSTATUS,ANZSCO_1-digit,ANZSCO_3-digit,INDUSTRY,STUDYING,ED_TYPE,MAINACT,STARTPLACE,ANYSTOPS,LASTLEFT,ASSISTAGE,ASSISTLTHC,ASSISTSTHC,ASSISTDISABILITY,ASSISTENGLISH,ASSISTOTHER,ASSISTANY,WFHDAY,WFHWEEK,WFHCORONA,NQSTADIUMATTEND,NQSTADIUMYEAR,NQSTADIUMEVENT,NQSTADIUMDRIVER,NQSTADIUMEVENTOTHER,NQSTADIUMPASSENGER,NQSTADIUMEVENTSHUTTLE,NQSTADIUMPUBLICBUS,NQSTADIUMUBERTAXI,NQSTADIUMBICYCLE,NQSTADIUMWALK,DEMOGWGT20,PERSWGT20
93631,93631/1000,13,female,,TRUE,fullLicence,FALSE,,FALSE,workPartTime,2,241,education,,,Part-time Work,home,TRUE,,,,,,,,0,FALSE,0,0,1,2021,football,,,1,,,,,1,1.161857486,29.39360046
93631,93631/1001,14,male,spouse,TRUE,fullLicence,FALSE,,FALSE,retired,,,,,,Retired,home,TRUE,,,,,,,,0,FALSE,,,1,2021,football,1,,,,,,,1,1.185264945,29.98578072
93632,93632/1000,12,female,,TRUE,fullLicence,FALSE,,FALSE,retired,,,,,,Retired,other,TRUE,,,,,,,,0,FALSE,,,0,,,,,,,,,,,1.232581019,31.18282127
93632,93632/1001,13,male,spouse,TRUE,fullLicence,FALSE,,FALSE,retired,,,,,,Retired,other,TRUE,,,,,,,,0,FALSE,,,0,,,,,,,,,,,0.914224029,23.12877083
93635,93635/1000,13,male,,TRUE,fullLicence,FALSE,,FALSE,retired,,,,,,Retired,home,TRUE,,,,,,,,0,FALSE,,,0,,,,,,,,,,,0.914224029,23.12877083
93635,93635/1001,13,female,spouse,TRUE,fullLicence,FALSE,,FALSE,retired,,,,,,Retired,outsideqld,FALSE,,,,,,,,0,FALSE,,,0,,,,,,,,,,,1.161857486,29.39360046
93637,93637/1000,9,male,,TRUE,fullLicence,FALSE,,FALSE,workFullTime,3,311,education,,,Full-time Work,home,TRUE,,,,,,,,0,FALSE,0,0,0,,,,,,,,,,,1.22006011,28.27939415
93638,93638/1000,10,female,,TRUE,fullLicence,FALSE,,FALSE,workFullTime,3,391,professional,,,Full-time Work,home,TRUE,,,,,,,,,FALSE,0,,0,,,,,,,,,,,1.120332479,28.34306717
93638,93638/1001,3,male,child,FALSE,,FALSE,,FALSE,,,,,secondary,1,Secondary School,home,TRUE,,1,,,,,,1,FALSE,,,0,,,,,,,,,,,0.927163005,23.45611191
93639,93639/1000,7,female,,TRUE,fullLicence,FALSE,,FALSE,otherReason,,,,tertiaryFullTime,,Full-time TAFE/Uni,home,TRUE,,,,,,,,0,FALSE,,,0,,,,,,,,,,,0.939867496,23.77751923
93639,93639/1001,2,male,child,FALSE,,FALSE,,FALSE,,,,,primary,1,Primary School,home,TRUE,,1,,,,,,1,FALSE,,,0,,,,,,,,,,,0.900419712,22.7795372
93652,93652/1000,13,female,,TRUE,,FALSE,,TRUE,retired,,,,,,Retired,home,TRUE,,,,,,,,0,FALSE,,,0,,,,,,,,,,,1.161857486,29.39360046
93652,93652/1001,11,male,spouse,TRUE,,FALSE,,FALSE,retired,,,,,,Retired,home,TRUE,,,,,,,,0,FALSE,,,0,,,,,,,,,,,1.209921598,30.60956383
93661,93661/1000,8,male,,TRUE,fullLicence,TRUE,,FALSE,workFullTime,4,441,publicAdmin,,,Full-time Work,home,TRUE,,,,,,,,,FALSE,0,0,0,,,,,,,,,,,1.012258768,25.6089325
93661,93661/1001,6,female,spouse,TRUE,fullLicence,FALSE,,FALSE,workFullTime,4,441,publicAdmin,,,Full-time Work,home,TRUE,,,,,,,,0,FALSE,0,0,0,,,,,,,,,,,1.321639419,33.4358902
93669,93669/1000,7,male,,TRUE,,FALSE,,FALSE,workFullTime,4,441,publicAdmin,,,Full-time Work,home,TRUE,,,,,,,,0,FALSE,0,0,0,,,,,,,,,,,1.159203172,44.18844986
93669,93669/1001,7,female,spouse,TRUE,fullLicence,FALSE,,FALSE,otherReason,,,,,,Other Activity,home,FALSE,5/5/2021 0:00,,,,,,,0,FALSE,,,0,,,,,,,,,,,0.939867496,35.82744598
93669,93669/1002,1,female,child,FALSE,,FALSE,,FALSE,,,,,,,,,TRUE,,1,,,,,,1,FALSE,,,,,,,,,,,,,,1.426358938,54.37234116
93669,93669/1003,1,female,child,FALSE,,FALSE,,FALSE,,,,,childcare,,Childcare/Kindergarten,,TRUE,,,,,,,,0,FALSE,,,,,,,,,,,,,,1.426358938,54.37234116
93670,93670/1000,13,female,,TRUE,fullLicence,FALSE,,FALSE,retired,,,,,,Retired,home,TRUE,,,,,,,,0,FALSE,,,,,,,,,,,,,,1.161857486,29.39360046
93670,93670/1001,14,male,spouse,TRUE,fullLicence,FALSE,,FALSE,retired,,,,,,Retired,home,TRUE,,,,,,,,,FALSE,,,,,,,,,,,,,,1.185264945,29.98578072
93671,93671/1000,6,female,,TRUE,fullLicence,FALSE,,FALSE,workPartTime,4,431,accom,,,Part-time Work,home,TRUE,,,,,,,,0,FALSE,0,1,,,,,,,,,,,,1.321639419,33.4358902
93671,93671/1001,8,female,nonFamily,TRUE,fullLicence,FALSE,,FALSE,workFullTime,6,600,retail,,,Full-time Work,home,TRUE,,,,,,,,0,FALSE,,,,,,,,,,,,,,1.084623694,27.43967819
93672,93672/1000,13,male,,TRUE,fullLicence,FALSE,,FALSE,retired,,,,,,Retired,home,FALSE,,,,,,,,0,FALSE,,,,,,,,,,,,,,0.914224029,21.19051552
93679,93679/1000,13,male,,TRUE,fullLicence,FALSE,fullLicence,FALSE,retired,,,,,,Retired,home,TRUE,,,,,,,,0,FALSE,,,1,2021,,,,,,,1,,,0.914224029,21.19051552
93681,93681/1000,6,female,,TRUE,fullLicence,FALSE,,FALSE,carer,,,,,,Volunteer/Carer,home,TRUE,,,,,,,,0,FALSE,,,0,,,,,,,,,,,1.321639419,40.23654175
93681,93681/1001,6,male,spouse,TRUE,fullLicence,FALSE,,FALSE,workFullTime,3,342,utilities,,,Full-time Work,home,TRUE,,,,,,,,0,FALSE,,,,,,,,,,,,,,1.402965784,42.71247864
93681,93681/1002,1,male,child,FALSE,,FALSE,,FALSE,,,,,other,,Other Education,,TRUE,,1,,,,,,1,FALSE,,,,,,,,,,,,,,1.487790585,45.29491806
93683,93683/1000,17,male,,FALSE,,FALSE,,FALSE,retired,,,,,,Retired,home,FALSE,,1,1,,,,,1,FALSE,,,,,,,,,,,,,,0.956150413,22.16231346
93685,93685/1000,10,female,,TRUE,fullLicence,FALSE,,FALSE,longTermIllness,,,,,,Illness,home,FALSE,,,,,,,,0,FALSE,,,0,,,,,,,,,,,1.120332479,25.96784019
