HHID,HHSIZE,BIKES,HHVEH,EBIKES,ESCOOTER,DWELLTYPE,SURVEYWEEK,STRATA_LGA,TRAVDATE,TRAVMONTH,TRAVYEAR,TRAVDOW,HOME_SA1_2021,HHWGT_20
92728,4,0,2,0,0,Separate house,12,11,25,2,2021,4,31802158313,38.1196772
92732,2,0,2,0,0,Separate house,12,11,24,2,2021,3,31802158313,25.29879984
92734,2,0,2,0,0,Separate house,12,11,26,2,2021,5,31802158313,25.29879984
92735,5,1,1,0,0,Separate house,12,11,22,2,2021,1,31802158313,51.10563103
92736,2,0,2,0,0,Separate house,12,11,23,2,2021,2,31802158313,25.29879984
92738,2,0,1,0,0,Separate house,12,11,25,2,2021,4,31802158313,25.29879984
92741,3,1,2,1,0,,12,11,23,2,2021,2,31802147903,30.44441848
92742,3,0,4,0,0,,12,11,24,2,2021,3,31802147903,30.44441848
92748,2,0,2,0,0,,12,11,25,2,2021,4,31802147903,25.29879984
92753,1,0,1,0,1,,12,11,25,2,2021,4,31802147903,23.17869001
92754,2,1,1,0,0,,12,11,26,2,2021,5,31802147903,25.29879984
92755,3,0,3,0,0,,12,11,22,2,2021,1,31802147903,30.44441848
92758,1,0,0,0,0,,12,11,25,2,2021,4,31802147903,23.17869001
92759,1,0,1,0,0,,12,11,26,2,2021,5,31802147903,23.17869001
92760,1,0,0,1,0,,12,11,22,2,2021,1,31802147903,23.17869001
92762,1,0,1,0,0,,12,11,24,2,2021,3,31802147903,23.17869001
92766,2,0,2,0,0,,12,11,23,2,2021,2,31802147903,25.29879984
92770,1,0,1,0,0,,12,11,22,2,2021,1,31802148121,23.17869001
92773,1,0,1,0,0,,12,11,25,2,2021,4,31802148121,23.17869001
92777,1,1,1,0,0,,12,11,24,2,2021,3,31802148121,23.17869001
92789,3,2,2,0,0,,12,11,26,2,2021,5,31802148121,30.44441848
92801,3,10,2,3,0,Separate house,12,11,23,2,2021,2,31802148710,30.44441848
92803,3,4,3,0,0,Separate house,12,11,25,2,2021,4,31802148710,30.44441848
92807,4,4,3,0,0,Separate house,12,11,24,2,2021,3,31802148710,38.1196772
92808,2,4,2,0,0,Separate house,12,11,25,2,2021,4,31802148710,25.29879984
92809,2,4,2,0,0,Separate house,12,11,26,2,2021,5,31802148710,25.29879984
